date,state,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,lat,long
11/1/20,Putrajaya,80.1,76.9,3.2,37.1,68.4,4,2.9264,101.6964
11/1/20,Sabah,1294.3,1212.5,81.8,726,64.1,6.3,5.9788,116.0753
11/1/20,Sarawak,1177.2,1121.5,55.7,604.5,66.1,4.7,1.5533,110.3592
11/1/20,Selangor,3274.4,3143.3,131,1360.8,70.6,4,3.0738,101.5183
11/1/20,Terengganu,601.8,574.3,27.5,322.5,65.1,4.6,5.329,103.137
11/1/20,W.P. Kuala Lumpur,1007.3,965,42.3,412.5,70.9,4.2,3.139,101.6869
11/1/20,W.P. Labuan,110.5,103.8,6.8,55.1,66.7,6.1,5.2831,115.2308
11/1/21,Johor,1694,1625.3,68.7,761.4,69,4.1,1.4854,103.7618
11/1/21,Kedah,905.3,868.2,37.1,488.7,64.9,4.1,6.1184,100.3685
11/1/21,Kelantan,696.6,669.4,27.2,411.2,62.9,3.9,6.1254,102.2381
11/1/21,Melaka,550,529,21.1,276.4,66.6,3.8,2.1896,102.2501
11/1/21,Negeri Sembilan,637.1,613,24.1,313.3,67,3.8,2.7258,101.9424
11/1/21,Pahang,755,726.6,28.4,390.8,65.9,3.8,3.8126,103.3256
11/1/21,Perak,1088.9,1043.1,45.8,566.9,65.8,4.2,4.5921,101.0901
11/1/21,Perlis,128.8,124.1,4.8,72.9,63.9,3.7,6.4449,100.2045
11/1/21,Pulau Pinang,799.1,769.1,30,377,67.9,3.8,5.4141,100.3288
11/1/21,Putrajaya,79.9,77,2.9,38.4,67.6,3.6,2.9264,101.6964
11/1/21,Sabah,1295.2,1217.7,77.5,684.2,65.4,6,5.9788,116.0753
11/1/21,Sarawak,1192.8,1137.4,55.3,559.3,68.1,4.6,1.5533,110.3592
11/1/21,Selangor,3260.5,3136.6,123.9,1323.1,71.1,3.8,3.0738,101.5183
11/1/21,Terengganu,598.7,571.9,26.8,328.4,64.6,4.5,5.329,103.137
11/1/21,W.P. Kuala Lumpur,979,940,39.1,418,70.1,4,3.139,101.6869
11/1/21,W.P. Labuan,109.2,102.8,6.4,58.7,65,5.9,5.2831,115.2308
11/1/22,Johor,1701.9,1646.4,55.4,774,68.7,3.3,1.4854,103.7618
11/1/22,Kedah,904.3,874,30.3,450,66.8,3.4,6.1184,100.3685
11/1/22,Kelantan,690.4,667.6,22.8,405.3,63,3.3,6.1254,102.2381
11/1/22,Melaka,546.7,533,13.7,261.9,67.6,2.5,2.1896,102.2501
11/1/22,Negeri Sembilan,647.4,628.5,18.9,325.5,66.5,2.9,2.7258,101.9424
11/1/22,Pahang,740.3,717.7,22.6,392.7,65.3,3,3.8126,103.3256
11/1/22,Perak,1096.2,1056.3,39.9,581.3,65.3,3.6,4.5921,101.0901
11/1/22,Perlis,129.7,126,3.7,72,64.3,2.9,6.4449,100.2045
11/1/22,Pulau Pinang,785.7,765.9,19.8,337.5,69.9,2.5,5.4141,100.3288
11/1/22,Putrajaya,77.7,75.7,2,35.5,68.6,2.6,2.9264,101.6964
11/1/22,Sabah,1279.9,1212.3,67.6,720.7,64,5.3,5.9788,116.0753
11/1/22,Sarawak,1183.2,1138.8,44.3,587.6,66.8,3.7,1.5533,110.3592
11/1/22,Selangor,3256.9,3156.3,100.6,1385,70.2,3.1,3.0738,101.5183
11/1/22,Terengganu,600,580.3,19.7,328.4,64.6,3.3,5.329,103.137
11/1/22,W.P. Kuala Lumpur,987.6,955.6,31.9,423.9,70,3.2,3.139,101.6869
11/1/22,W.P. Labuan,108.3,103,5.3,55.9,65.9,4.9,5.2831,115.2308
12/1/19,Johor,1704.4,1657.9,46.5,732.6,69.9,2.7,1.4854,103.7618
12/1/19,Kedah,891.5,866.7,24.9,464.8,65.7,2.8,6.1184,100.3685
12/1/19,Kelantan,689,669.1,19.9,398.1,63.4,2.9,6.1254,102.2381
12/1/19,Melaka,556.3,543.3,13,279.5,66.6,2.3,2.1896,102.2501
12/1/19,Negeri Sembilan,639,622.1,16.9,321.9,66.5,2.6,2.7258,101.9424
12/1/19,Pahang,748.7,728.7,20,388.3,65.8,2.7,3.8126,103.3256
12/1/19,Perak,1102.2,1068.7,33.5,609.4,64.4,3,4.5921,101.0901
12/1/19,Perlis,130.9,127.1,3.8,72.9,64.2,2.9,6.4449,100.2045
12/1/19,Pulau Pinang,802.4,783.3,19.1,340.3,70.2,2.4,5.4141,100.3288
12/1/19,Putrajaya,79.3,77.5,1.8,37.1,68.1,2.2,2.9264,101.6964
12/1/19,Sabah,1296,1233.9,62.1,743.4,63.5,4.8,5.9788,116.0753
12/1/19,Sarawak,1185.1,1147.3,37.8,597.9,66.5,3.2,1.5533,110.3592
12/1/19,Selangor,3311,3230,81,1350.4,71,2.4,3.0738,101.5183
12/1/19,Terengganu,605.4,585.6,19.8,319.7,65.4,3.3,5.329,103.137
12/1/19,W.P. Kuala Lumpur,993.5,966.3,27.2,419.1,70.3,2.7,3.139,101.6869
12/1/19,W.P. Labuan,108.4,103.5,4.9,55.9,66,4.6,5.2831,115.2308
12/1/20,Johor,1681.3,1615.3,66.1,740.6,69.4,3.9,1.4854,103.7618
12/1/20,Kedah,892.8,854.7,38.1,444.1,66.8,4.3,6.1184,100.3685
12/1/20,Kelantan,710.4,680.8,29.6,420.2,62.8,4.2,6.1254,102.2381
12/1/20,Melaka,548.7,527.2,21.5,257.5,68.1,3.9,2.1896,102.2501
12/1/20,Negeri Sembilan,657.4,630.6,26.8,327,66.8,4.1,2.7258,101.9424
12/1/20,Pahang,742.6,712.1,30.5,378,66.3,4.1,3.8126,103.3256
12/1/20,Perak,1091.8,1045.2,46.5,591.5,64.9,4.3,4.5921,101.0901
12/1/20,Perlis,129.6,124.2,5.4,69.6,65.1,4.2,6.4449,100.2045
12/1/20,Pulau Pinang,798,769.2,28.9,380,67.7,3.6,5.4141,100.3288
12/1/20,Putrajaya,80.8,77.5,3.3,37.8,68.1,4.1,2.9264,101.6964
12/1/20,Sabah,1296.6,1210,86.6,742.4,63.6,6.7,5.9788,116.0753
12/1/20,Sarawak,1198,1142.8,55.3,569.7,67.8,4.6,1.5533,110.3592
12/1/20,Selangor,3301.2,3169.2,132.1,1351.9,70.9,4,3.0738,101.5183
12/1/20,Terengganu,610.3,584.1,26.2,349.2,63.6,4.3,5.329,103.137
12/1/20,W.P. Kuala Lumpur,994.6,952.4,42.2,426.1,70,4.2,3.139,101.6869
12/1/20,W.P. Labuan,110.5,103.8,6.7,57.5,65.8,6.1,5.2831,115.2308
12/1/21,Johor,1674.5,1609.3,65.2,774.1,68.4,3.9,1.4854,103.7618
12/1/21,Kedah,911.1,874.4,36.7,477.4,65.6,4,6.1184,100.3685
12/1/21,Kelantan,696.2,667.2,29,406.3,63.1,4.2,6.1254,102.2381
12/1/21,Melaka,554.8,536,18.8,265,67.7,3.4,2.1896,102.2501
12/1/21,Negeri Sembilan,641,618.3,22.8,320.3,66.7,3.6,2.7258,101.9424
12/1/21,Pahang,753.1,720.1,32.9,392.8,65.7,4.4,3.8126,103.3256
12/1/21,Perak,1080.9,1039,41.9,578.9,65.1,3.9,4.5921,101.0901
12/1/21,Perlis,129.4,124.8,4.6,72.5,64.1,3.5,6.4449,100.2045
12/1/21,Pulau Pinang,801.9,773.8,28.1,341.4,70.1,3.5,5.4141,100.3288
12/1/21,Putrajaya,80.1,77.2,2.9,38.7,67.4,3.6,2.9264,101.6964
12/1/21,Sabah,1303.4,1223,80.4,713.8,64.6,6.2,5.9788,116.0753
12/1/21,Sarawak,1193,1139,54,624.7,65.6,4.5,1.5533,110.3592
12/1/21,Selangor,3296.3,3170.2,126.1,1386.4,70.4,3.8,3.0738,101.5183
12/1/21,Terengganu,596.5,568.9,27.6,325.7,64.7,4.6,5.329,103.137
12/1/21,W.P. Kuala Lumpur,986.6,950.9,35.7,410.3,70.6,3.6,3.139,101.6869
12/1/21,W.P. Labuan,109.3,102.8,6.5,53.4,67.2,5.9,5.2831,115.2308
12/1/22,Johor,1705.6,1649.1,56.6,761,69.1,3.3,1.4854,103.7618
12/1/22,Kedah,905,879.2,25.7,496.5,64.6,2.8,6.1184,100.3685
12/1/22,Kelantan,701,677.2,23.8,413.7,62.9,3.4,6.1254,102.2381
12/1/22,Melaka,554.3,539.1,15.3,256.5,68.4,2.8,2.1896,102.2501
12/1/22,Negeri Sembilan,638,619,19,318.1,66.7,3,2.7258,101.9424
12/1/22,Pahang,741.8,718.2,23.6,375.7,66.4,3.2,3.8126,103.3256
12/1/22,Perak,1101.4,1069,32.4,642.4,63.2,2.9,4.5921,101.0901
12/1/22,Perlis,132.5,128.9,3.6,75.6,63.7,2.7,6.4449,100.2045
12/1/22,Pulau Pinang,809.9,786.2,23.7,363.7,69,2.9,5.4141,100.3288
12/1/22,Putrajaya,79.3,77.1,2.2,40.2,66.3,2.7,2.9264,101.6964
12/1/22,Sabah,1303.6,1233.6,70,724.6,64.3,5.4,5.9788,116.0753
12/1/22,Sarawak,1208.4,1163.7,44.6,559.1,68.4,3.7,1.5533,110.3592
12/1/22,Selangor,3247.8,3146.2,101.6,1309.4,71.3,3.1,3.0738,101.5183
12/1/22,Terengganu,607.2,583.9,23.3,330.7,64.7,3.8,5.329,103.137
12/1/22,W.P. Kuala Lumpur,1009.3,980.5,28.8,401.4,71.5,2.8,3.139,101.6869
12/1/22,W.P. Labuan,109.4,104.3,5.1,56.8,65.8,4.7,5.2831,115.2308
2/1/19,Johor,1726.3,1676.9,49.3,774.1,69,2.9,1.4854,103.7618
2/1/19,Kedah,913.5,889.4,24.1,489.2,65.1,2.6,6.1184,100.3685
2/1/19,Kelantan,702.8,682.1,20.7,419.6,62.6,2.9,6.1254,102.2381
2/1/19,Melaka,563,547.8,15.2,271.3,67.5,2.7,2.1896,102.2501
2/1/19,Negeri Sembilan,644.7,627.7,17,320.4,66.8,2.6,2.7258,101.9424
2/1/19,Pahang,760.9,739.1,21.8,384.6,66.4,2.9,3.8126,103.3256
2/1/19,Perak,1105.7,1071.7,34,602.7,64.7,3.1,4.5921,101.0901
2/1/19,Perlis,130.9,127.5,3.4,76.1,63.2,2.6,6.4449,100.2045
2/1/19,Pulau Pinang,799.6,780.2,19.4,354.2,69.3,2.4,5.4141,100.3288
2/1/19,Putrajaya,80.6,78.8,1.8,39.7,67,2.2,2.9264,101.6964
2/1/19,Sabah,1320.2,1253.8,66.4,750.9,63.7,5,5.9788,116.0753
2/1/19,Sarawak,1217.9,1177.8,40.1,604.9,66.8,3.3,1.5533,110.3592
2/1/19,Selangor,3306.7,3223.3,83.5,1365,70.8,2.5,3.0738,101.5183
2/1/19,Terengganu,598,578.8,19.2,317.9,65.3,3.2,5.329,103.137
2/1/19,W.P. Kuala Lumpur,1008.8,980.6,28.1,426.4,70.3,2.8,3.139,101.6869
2/1/19,W.P. Labuan,111.7,106.8,4.9,57.7,65.9,4.4,5.2831,115.2308
2/1/20,Johor,1722.7,1651.8,70.9,785.6,68.7,4.1,1.4854,103.7618
2/1/20,Kedah,920.1,886.8,33.3,487.3,65.4,3.6,6.1184,100.3685
2/1/20,Kelantan,717.3,686.4,31,394.3,64.5,4.3,6.1254,102.2381
2/1/20,Melaka,544.1,523.2,20.9,258.3,67.8,3.8,2.1896,102.2501
2/1/20,Negeri Sembilan,654.4,627.5,26.9,332.2,66.3,4.1,2.7258,101.9424
2/1/20,Pahang,760.4,728.2,32.2,407.6,65.1,4.2,3.8126,103.3256
2/1/20,Perak,1132.1,1084.2,47.9,606.8,65.1,4.2,4.5921,101.0901
2/1/20,Perlis,130.9,125.9,5,72.5,64.4,3.9,6.4449,100.2045
2/1/20,Pulau Pinang,808.2,774.5,33.7,367.1,68.8,4.2,5.4141,100.3288
2/1/20,Putrajaya,78.6,75.5,3.1,36.2,68.5,4,2.9264,101.6964
2/1/20,Sabah,1309,1228.1,80.9,704.8,65,6.2,5.9788,116.0753
2/1/20,Sarawak,1217.4,1163.6,53.9,594.5,67.2,4.4,1.5533,110.3592
2/1/20,Selangor,3334.4,3203.2,131.2,1314.3,71.7,3.9,3.0738,101.5183
2/1/20,Terengganu,595,568.2,26.9,320.6,65,4.5,5.329,103.137
2/1/20,W.P. Kuala Lumpur,1005.2,967.5,37.8,431.8,70,3.8,3.139,101.6869
2/1/20,W.P. Labuan,109.2,102.8,6.3,55.5,66.3,5.8,5.2831,115.2308
2/1/21,Johor,1692.2,1623.1,69.1,770.7,68.7,4.1,1.4854,103.7618
2/1/21,Kedah,906.9,872.7,34.1,475.4,65.6,3.8,6.1184,100.3685
2/1/21,Kelantan,701.1,668.4,32.6,421.1,62.5,4.7,6.1254,102.2381
2/1/21,Melaka,556.4,536.4,20,255.5,68.5,3.6,2.1896,102.2501
2/1/21,Negeri Sembilan,654.4,633,21.4,328.6,66.6,3.3,2.7258,101.9424
2/1/21,Pahang,746.2,720.4,25.7,403.3,64.9,3.5,3.8126,103.3256
2/1/21,Perak,1096.4,1051.5,44.9,570,65.8,4.1,4.5921,101.0901
2/1/21,Perlis,132.8,127.3,5.5,73.9,64.2,4.2,6.4449,100.2045
2/1/21,Pulau Pinang,799.7,769.8,30,354,69.3,3.7,5.4141,100.3288
2/1/21,Putrajaya,80.7,78.1,2.7,38.4,67.8,3.3,2.9264,101.6964
2/1/21,Sabah,1303.8,1221.5,82.3,722.7,64.3,6.3,5.9788,116.0753
2/1/21,Sarawak,1203.8,1153.7,50.1,611.2,66.3,4.2,1.5533,110.3592
2/1/21,Selangor,3331.4,3210.1,121.3,1347.8,71.2,3.6,3.0738,101.5183
2/1/21,Terengganu,605.4,577.4,28,321.1,65.3,4.6,5.329,103.137
2/1/21,W.P. Kuala Lumpur,1024.2,986.3,37.9,423.1,70.8,3.7,3.139,101.6869
2/1/21,W.P. Labuan,112.8,106.1,6.7,58.9,65.7,5.9,5.2831,115.2308
